G1 Model,G2 Reference Model,Family,Stages,Motor kW,Motor HP,Connection,Full Impellers,Small Impellers,Smallest Impellers
CHC 45-8,CHC 45-80,CHC 45,8,30,40,DN80,8,0,0
CHC 45-9-2,CHC 45-90-2,CHC 45,9,30,40,DN80,7,2,0
CHC 45-9,CHC 45-90,CHC 45,9,37,50,DN80,9,0,0
CHC 45-10-2,CHC 45-100-2,CHC 45,10,37,50,DN80,8,2,0
CHC 45-10,CHC 45-100,CHC 45,10,37,50,DN80,10,0,0
CHC 45-11-2,CHC 45-110-2,CHC 45,11,45,60,DN80,9,2,0
CHC 45-11,CHC 45-110,CHC 45,11,45,60,DN80,11,0,0
CHC 45-12-2,CHC 45-120-2,CHC 45,12,45,60,DN80,10,2,0
CHC 45-12,CHC 45-120,CHC 45,12,45,60,DN80,12,0,0
CHC 45-13-2,CHC 45-130-2,CHC 45,13,45,60,DN80,11,2,0
CHC 64-1-1,CHC 64-10-1,CHC 64,1,4,5.5,DN100,0,1,0
CHC 64-1,CHC 64-10,CHC 64,1,5.5,7.5,DN100,1,0,0
CHC 64-2-2,CHC 64-20-2,CHC 64,2,7.5,10,DN100,0,2,0
CHC 64-2-1,CHC 64-20-1,CHC 64,2,11,15,DN100,1,1,0
CHC 64-2,CHC 64-20,CHC 64,2,11,15,DN100,2,0,0
CHC 64-3-2,CHC 64-30-2,CHC 64,3,15,20,DN100,1,2,0
CHC 64-3-1,CHC 64-30-1,CHC 64,3,15,20,DN100,2,1,0
CHC 64-3,CHC 64-30,CHC 64,3,18.5,25,DN100,3,0,0
CHC 64-4-2,CHC 64-40-2,CHC 64,4,18.5,25,DN100,2,2,0
CHC 64-4-1,CHC 64-40-1,CHC 64,4,22,30,DN100,3,1,0
CHC 64-4,CHC 64-40,CHC 64,4,22,30,DN100,4,0,0
CHC 64-5-2,CHC 64-50-2,CHC 64,5,30,40,DN100,3,2,0
CHC 64-5-1,CHC 64-50-1,CHC 64,5,30,40,DN100,4,1,0
CHC 64-5,CHC 64-50,CHC 64,5,30,40,DN100,5,0,0
CHC 64-6-2,CHC 64-60-2,CHC 64,6,30,40,DN100,4,2,0
CHC 64-6-1,CHC 64-60-1,CHC 64,6,37,50,DN100,5,1,0
CHC 64-6,CHC 64-60,CHC 64,6,37,50,DN100,6,0,0
CHC 64-7-2,CHC 64-70-2,CHC 64,7,37,50,DN100,5,2,0
CHC 64-7-1,CHC 64-70-1,CHC 64,7,37,50,DN100,6,1,0
CHC 64-7,CHC 64-70,CHC 64,7,45,60,DN100,7,0,0
CHC 64-8-2,CHC 64-80-2,CHC 64,8,45,60,DN100,6,2,0
CHC 64-8-1,CHC 64-80-1,CHC 64,8,45,60,DN100,7,1,0
CHC 90-1-1,CHC 90-10-1,CHC 90,1,5.5,7.5,DN100,0,1,0
CHC 90-1,CHC 90-10,CHC 90,1,7.5,10,DN100,1,0,0
CHC 90-2-2,CHC 90-20-2,CHC 90,2,11,15,DN100,0,2,0
CHC 90-2,CHC 90-20,CHC 90,2,15,20,DN100,2,0,0
CHC 90-3-2,CHC 90-30-2,CHC 90,3,18.5,25,DN100,1,2,0
CHC 90-3,CHC 90-30,CHC 90,3,22,30,DN100,3,0,0
CHC 90-4-2,CHC 90-40-2,CHC 90,4,30,40,DN100,2,2,0
CHC 90-4,CHC 90-40,CHC 90,4,30,40,DN100,4,0,0
CHC 90-5-2,CHC 90-50-2,CHC 90,5,37,50,DN100,3,2,0
CHC 90-5,CHC 90-50,CHC 90,5,37,50,DN100,5,0,0
CHC 90-6-2,CHC 90-60-2,CHC 90,6,45,60,DN100,4,2,0
CHC 90-6,CHC 90-60,CHC 90,6,45,60,DN100,6,0,0
CHC 120-1,CHC 120-10,CHC 120,1,11,15,DN125,1,0,0
CHC 120-2-2,CHC 120-20-2,CHC 120,2,18.5,25,DN125,0,2,0
CHC 120-2-1,CHC 120-20-1,CHC 120,2,18.5,25,DN125,1,1,0
CHC 120-2,CHC 120-20,CHC 120,2,22,30,DN125,2,0,0
CHC 120-3-2,CHC 120-30-2,CHC 120,3,30,40,DN125,1,2,0
CHC 120-3-1,CHC 120-30-1,CHC 120,3,30,40,DN125,2,1,0
CHC 120-3,CHC 120-30,CHC 120,3,30,40,DN125,3,0,0
CHC 120-4-2,CHC 120-40-2,CHC 120,4,37,50,DN125,2,2,0
CHC 120-4-1,CHC 120-40-1,CHC 120,4,37,50,DN125,3,1,0
CHC 120-4,CHC 120-40,CHC 120,4,45,60,DN125,4,0,0
CHC 120-5-2,CHC 120-50-2,CHC 120,5,45,60,DN125,3,2,0
CHC 120-5-1,CHC 120-50-1,CHC 120,5,45,60,DN125,4,1,0
CHC 120-5,CHC 120-50,CHC 120,5,55,75,DN125,5,0,0
CHC 120-6-2,CHC 120-60-2,CHC 120,6,55,75,DN125,4,2,0
CHC 120-6-1,CHC 120-60-1,CHC 120,6,55,75,DN125,5,1,0
CHC 120-6,CHC 120-60,CHC 120,6,75,100,DN125,6,0,0
CHC 120-7-2,CHC 120-70-2,CHC 120,7,75,100,DN125,5,2,0
CHC 120-7-1,CHC 120-70-1,CHC 120,7,75,100,DN125,6,1,0
CHC 120-7,CHC 120-70,CHC 120,7,75,100,DN125,7,0,0
CHC 150-1-1,CHC 150-10-1,CHC 150,1,11,15,DN125,0,1,0
CHC 150-1,CHC 150-10,CHC 150,1,15,20,DN125,1,0,0
CHC 150-2-2,CHC 150-20-2,CHC 150,2,22,30,DN125,0,2,0
CHC 150-2-1,CHC 150-20-1,CHC 150,2,22,30,DN125,1,1,0
CHC 150-2,CHC 150-20,CHC 150,2,30,40,DN125,2,0,0
CHC 150-3-2,CHC 150-30-2,CHC 150,3,30,40,DN125,1,2,0
CHC 150-3-1,CHC 150-30-1,CHC 150,3,37,50,DN125,2,1,0
CHC 150-3,CHC 150-30,CHC 150,3,37,50,DN125,3,0,0
CHC 150-4-2,CHC 150-40-2,CHC 150,4,45,60,DN125,2,2,0
CHC 150-4-1,CHC 150-40-1,CHC 150,4,45,60,DN125,3,1,0
CHC 150-4,CHC 150-40,CHC 150,4,55,75,DN125,4,0,0
CHC 150-5-2,CHC 150-50-2,CHC 150,5,55,75,DN125,3,2,0
CHC 150-5-1,CHC 150-50-1,CHC 150,5,75,100,DN125,4,1,0
CHC 150-5,CHC 150-50,CHC 150,5,75,100,DN125,5,0,0
CHC 150-6-2,CHC 150-60-2,CHC 150,6,75,100,DN125,4,2,0
CHC 150-6-1,CHC 150-60-1,CHC 150,6,75,100,DN125,5,1,0
CHC 150-6,CHC 150-60,CHC 150,6,75,100,DN125,6,0,0
CHC 200-1-0-1,CHC 200-10-0-1,CHC 200,1,18.5,25,DN150,0,0,1
CHC 200-1-1,CHC 200-10-1,CHC 200,1,22,30,DN150,0,1,0
CHC 200-1,CHC 200-10,CHC 200,1,30,40,DN150,1,0,0
CHC 200-2-0-2,CHC 200-20-0-2,CHC 200,2,37,50,DN150,0,0,2
CHC 200-2-2,CHC 200-20-2,CHC 200,2,45,60,DN150,0,2,0
CHC 200-2-1,CHC 200-20-1,CHC 200,2,55,75,DN150,1,1,0
CHC 200-2,CHC 200-20,CHC 200,2,55,75,DN150,2,0,0
CHC 200-3-0-2,CHC 200-30-0-2,CHC 200,3,75,100,DN150,1,0,2
CHC 200-3-1-1,CHC 200-30-1-1,CHC 200,3,75,100,DN150,1,1,1
CHC 200-3-2,CHC 200-30-2,CHC 200,3,75,100,DN150,1,2,0
CHC 200-3-0-1,CHC 200-30-0-1,CHC 200,3,75,100,DN150,2,0,1
CHC 200-3-1,CHC 200-30-1,CHC 200,3,75,100,DN150,2,1,0
CHC 200-3,CHC 200-30,CHC 200,3,90,125,DN150,3,0,0
CHC 200-4-0-2,CHC 200-40-0-2,CHC 200,4,90,125,DN150,2,0,2
CHC 200-4-2,CHC 200-40-2,CHC 200,4,110,150,DN150,2,2,0
CHC 200-4-1,CHC 200-40-1,CHC 200,4,110,150,DN150,3,1,0
CHC 200-4,CHC 200-40,CHC 200,4,110,150,DN150,4,0,0
